Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
2382,1535809214680993792,priya_tiwary120,1562839369555517440,2022-08-25 16:28:36+00:00,"This man is strong,Bold &amp; fearless answer for “Owaisi Brothers” in #Bhagynagar,Raise your voice🔊in his support....Like &amp; retweet 🔥 #SarTanSeJuda #NupurSharma #HindusUnderAttack #RajaSingh #Hyderabad #ProphetMuhammad https://t.co/iFLCictQ5v https://t.co/Q8sbcCAMZ9",en,1,863,this man is strong bold amp fearless answer for owaisi brother in your voice in his support like amp retweet URL URL 
2384,790239872,tapasisadhukhan,1562839362618138625,2022-08-25 16:28:34+00:00,@republic Please answer me can those who want to cut our head and are already cutting our head from our body be our any kind of relative? If we are forced to except the #SarTanSeJuda  people as our relative (Brothers/sisters) then is our life stay safe among the Head-cutter mob?,en,0,16,please answer me can those who want to cut our head and are already cutting our head from our body be our any kind of relative if we are forced to except the people a our relative brother sister then is our life stay safe among the head cutter mob 
2386,1505008268275560452,PushkarTKedar,1562838713406988289,2022-08-25 16:26:00+00:00,"@ramprasad_c Hypocrite sighted 👀

Goli maro salon ko was condemnable but #SarTanSeJuda is a prayer 🙄🤦",en,0,19,hypocrite sighted goli maro salon ko wa condemnable but is prayer 
2387,1537039334200643584,Achu1980s,1562838592757846018,2022-08-25 16:25:31+00:00,@ysathishreddy Is it before or after #SarTanSeJuda ? KCR and @KTRTRS does not have Spine to act against terrorists..,en,0,157,is it before or after kcr and doe not have spine to act against terrorist 
2390,1502460796559040512,VikasJh35294755,1562838082734682118,2022-08-25 16:23:29+00:00,"Hindus have to raise the slogan against peaceful #जो_न_काटे_सूरा_हिंदू_ना_पूरा
               #सुअर_के_बालों_को_काट_डालो_सालों_को
@KapilMishra_IND @TigerRajaSingh use this as a answer of #SarTanSeJuda",en,0,74,hindu have to raise the slogan against peaceful use this a answer of 
2391,1428398293923471363,Dikshant_404,1562837885816307713,2022-08-25 16:22:42+00:00,"#congress tenlangana leader #RashidKhan  a redical islamic terrorist barked and gave provoking statements but #Congress is silent, no action is taken against this #Jehadi_Mindset yet. slogan #SarTanSeJuda is a cancer and those who repeats it are terrorists.
#IStandWithTRajaSingh https://t.co/3PijlSbe9K",en,0,3,tenlangana leader redical islamic terrorist barked and gave provoking statement but is silent no action is taken against this yet slogan is cancer and those who repeat it are terrorist URL 
2393,1344703718751494144,pratham1156,1562837440477335553,2022-08-25 16:20:56+00:00,"@qqshahshoaib @amjedmbt HEY MOTHERFU&lt;KER, LISTEN HE DIDN'T MENTION ANYONE'S NAME IN HIS VIDEO, BUT YOUR COMMUNITY THOUGHT IT WAS ON CHUTIYA #ProphetMuhammad , AND YOUR COMMUNITY USED #SarTanSeJuda AGAINST HIM, SO TELL ME NOW, WHO SHOULD BE IN JAIL FOR DOING ALL THAT!",en,0,23,hey motherfu lt ker listen he didn mention anyone name in his video but your community thought it wa on chutiya and your community used against him so tell me now who should be in jail for doing all that 
2394,459380805,abhinavseeker,1562837248676347904,2022-08-25 16:20:10+00:00,"@SanjayY42748079 @TigerRajaSingh @TelanganaDGP @TelanganaCOPs What a shame...
That means we have to give #Sartansejuda calls for bstrd munnawar farooqi and Tasleem rehmani",en,0,103,what shame that mean we have to give call for bstrd munnawar farooqi and tasleem rehmani 
2395,1520787026932813824,PankajP03620047,1562836613465804800,2022-08-25 16:17:39+00:00,@HananyaNaftali This #SarTanSeJuda slogan is basically Izlamic Terr0r! Going on for far too long in India.,en,0,141,this slogan is basically izlamic terr0r going on for far too long in india 
2396,1537016842627076096,ministry160,1562836603181051905,2022-08-25 16:17:36+00:00,"@CNNnews18 @swastikadas95 @Arunima24 There were no #SarTanSeJuda when #ZakirNaik said it 

But there is #SarTanSeJuda when @NupurSharmaBJP and #RajaSingh said the same 

WHY OWAISI IS NOT ASKING TO AREST ZAKIR NAIK 

Understand where the problem lies 

 https://t.co/uWSznDVrMz",en,0,47,there were no when said it but there is when and said the same why owaisi is not asking to arest zakir naik understand where the problem lie URL 
