Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
17833,1239149701217128454,AshaudNSUI,1569263233546227712,2022-09-12 09:54:45+00:00,"You don't need to be an athlete to participate in the #BharatJodoYatra but it doesn't hurt to be one! 

We welcome Arjuna Awardee &amp; renowned athlete, Pamini Thomas on the march for India's unity, along with Rahul Gandhi. https://t.co/EyOFrEwNUe",en,0,629,you don need to be an athlete to participate in the but it doesn hurt to be one we welcome arjuna awardee amp renowned athlete pamini thomas on the march for india unity along with rahul gandhi URL 
17848,1558687361768509440,SevadalAWR,1569263028780105730,2022-09-12 09:53:56+00:00,"SD KL team incharge of the Tiranga, led by Shri Ramesh (State Chief KL)
#BharatJodoYatra https://t.co/4oRTZS6LxD",en,0,348,sd kl team incharge of the tiranga led by shri ramesh state chief kl URL 
17849,130409222,AmardeepP111,1569263016704905216,2022-09-12 09:53:53+00:00,"@SarcasticRofl @Tejasvi_Surya That picture is what #BharatJodoYatra wants to achieve. 
Light fire in chaddis of fascist communal Sanhis &amp; Ignite hope in masses across India.",en,0,2528,that picture is what want to achieve light fire in chaddis of fascist communal sanhis amp ignite hope in mass across india 
17852,1304785344286478337,iyc72Jasdan,1569262989370327040,2022-09-12 09:53:46+00:00,"Strong resolves and determined faces! 

#BharatJodoYatra a pledge to strengthen the nation! https://t.co/dBc6BkkxhB",en,0,354,strong resolve and determined face pledge to strengthen the nation URL 
17856,1016721744558620672,TejaRam07593270,1569262958529884162,2022-09-12 09:53:39+00:00,"Holding hands, leading #BharatJodoYatra 🇮🇳. Padyatris turn up in large numbers. https://t.co/bZ6x8ivRqQ",en,0,387,holding hand leading padyatris turn up in large number URL 
17859,18071358,ZeeNewsEnglish,1569262883686739968,2022-09-12 09:53:21+00:00,"Massive political uproar after #Congress shares 'burning RSS Pants' picture, #BJP accuses #RahulGandhi of ‘Aag lagao Yatra’ 

#BharatJodoYatra 
https://t.co/EUh6K2KCKY",en,3,5632634,massive political uproar after share burning r pant picture accuses of aag lagao yatra URL 
17861,1883651461,Neerajkundan,1569262859959533568,2022-09-12 09:53:15+00:00,Marching forward with the young minds. A refreshing start to #BharatJodoYatra 🇮🇳 in God's own country. https://t.co/tdH6dBLQpo,en,2,153164,marching forward with the young mind refreshing start to in god own country URL 
17866,1310306508,MohammedZawid,1569262727926878210,2022-09-12 09:52:44+00:00,"Come forward, join the #BharatJodoYatra to understand that:
- #HindusUnderAttack is a myth, 
- #jokes can threat harmony of India is also a joke,
- @RahulGandhi is not the leader but a participant in this, 
- EACH ONE OF YOU HAVE THE POWER TO UNITE #India! 
Jai Hind 🇮🇳 https://t.co/FwEKhWwZ3n",en,0,88,come forward join the to understand that is myth can threat harmony of india is also joke is not the leader but participant in this each one of you have the power to unite jai hind URL 
17868,1310306508,MohammedZawid,1569262674470490114,2022-09-12 09:52:31+00:00,"Come forward, join the #BharatJodoYatra to understand that:
- #HindusUnderAttack is a myth, 
- #jokes can threat harmony of India is also a joke,
- @RahulGandhi is not the leader but a participant in this, 
- EACH ONE OF YOU HAVE THE POWER TO UNITE #India! 
Jai Hind 🇮🇳 https://t.co/jkdHs1qJnN",en,0,88,come forward join the to understand that is myth can threat harmony of india is also joke is not the leader but participant in this each one of you have the power to unite jai hind URL 
17871,1218091151707664384,avaaz24,1569262664148471811,2022-09-12 09:52:29+00:00,"Rahul Gandhi starts the Padyatra with little kids on Day 6 of #BharatJodoYatra in Thiruvananthapuram.

#Avaaz24 #BharatJodoYatra #RahulGandhi
https://t.co/ECljrz5jJ1
#BharatJodoYatra",en,0,87,rahul gandhi start the padyatra with little kid on day of in thiruvananthapuram URL 
