Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
7169,1395830338107056128,JagoreeS,1569230161249452032,2022-09-12 07:43:19+00:00,"#karnatakahijabrow
#CAA 
#GyanvapiCase 

What a day!",en,0,312,what day 
7170,33882159,Pinky_Sharma8,1569230154240761858,2022-09-12 07:43:18+00:00,"#UPPolice conduct flag march in Lucknow ahead of the judgment in  #GyanvapiCase 
An important judgment is about to come today. We did flag march to create a sense of security among people: Lucknow Commissioner, SB Shiradkar.
The nail biting wait continues
Har Har Mahadev 🙏🏻🔱🙏🏻 https://t.co/d5Y6R6qe0u",en,0,23,conduct flag march in lucknow ahead of the judgment in an important judgment is about to come today we did flag march to create sense of security among people lucknow commissioner sb shiradkar the nail biting wait continues har har mahadev URL 
7171,1400056105913315331,IamPoojaSingh2,1569230109596602368,2022-09-12 07:43:07+00:00,"The ruthless atrocities of the Pakistani army on the innocent people of Balochistan!
#BalochistanIsNotPakistan
#PAKvsSL
#AsiaCup2022Final 
#GyanvapiCase https://t.co/W13A6ksRYl",en,3,1212,the ruthless atrocity of the pakistani army on the innocent people of balochistan URL 
7172,1335199667571679232,ArgusNews_in,1569230101505789954,2022-09-12 07:43:05+00:00,"#Gyanvapi: Hindu side to seek #ASI survey, carbon dating of #Shivling if ruling comes in their favour

#GyanvapiCase 
https://t.co/jF04iqYue4",en,0,25225,hindu side to seek survey carbon dating of if ruling come in their favour URL 
7176,3007649773,biharigurl,1569229631592763393,2022-09-12 07:41:13+00:00,"The verdict of districts court will be on maintainability of civil suits challenging the title of the Gyanvapi mosque and the land surrounding it. If It will be in our favour then ASI survey will be done 🙏  Har Har sambhu 🥰

#GyanvapiCase",en,0,16503,the verdict of district court will be on maintainability of civil suit challenging the title of the gyanvapi mosque and the land surrounding it if it will be in our favour then asi survey will be done har har sambhu 
7177,2376970800,TOILucknow,1569229593978236928,2022-09-12 07:41:04+00:00,Police conduct flag march in Lucknow ahead of the judgment in the #GyanvapiCase https://t.co/vImwOUagO4,en,0,64194,police conduct flag march in lucknow ahead of the judgment in the URL 
7178,1368831130103779328,swatisah2000,1569229574583762944,2022-09-12 07:41:00+00:00,"@CHShivaJiMahraj #NoActIsBiggerThanFact #GyanvapiCase #Gyanvapi 
It was Temple and will remain the Temple...",en,0,249,it wa temple and will remain the temple 
7181,134758540,timesofindia,1569229199101284352,2022-09-12 07:39:30+00:00,"Uttar Pradesh | Police conduct flag march in Lucknow ahead of the judgment in the #GyanvapiCase

An important judgment is about to come today. We did flag march to create a sense of security among people: Lucknow Police Commissioner, SB Shiradkar (ANI) https://t.co/Lq9s1fTgPx",en,0,14543371,uttar pradesh police conduct flag march in lucknow ahead of the judgment in the an important judgment is about to come today we did flag march to create sense of security among people lucknow police commissioner sb shiradkar ani URL 
7182,1568964193688363008,Nkhabar24x7,1569229162405310464,2022-09-12 07:39:21+00:00,"Judgement slated to be announced at 2 pm. It is listed at number 15 in today's cases.
#GyanvapiCase #VaranasiCourt",en,0,2,judgement slated to be announced at pm it is listed at number 15 in today case 
7183,2480287310,TheHintNews,1569229123373142016,2022-09-12 07:39:12+00:00,UP ADG Law and Order Prashant Kumar on the security measures in place ahead of the verdict on the maintainability of civil suits challenging the title of the Gyanvapi mosque. #Gyanvapi #GyanvapiCase #VaranasiCourt #Varanasi https://t.co/n01EwVvewg,en,0,190,up adg law and order prashant kumar on the security measure in place ahead of the verdict on the maintainability of civil suit challenging the title of the gyanvapi mosque URL 
